Starttime - 2009-11-30 20:40:39.640000
1075 : 578350 : 24
1076 : 579426 : 16
1077 : 580503 : 24
1078 : 581581 : 24
1079 : 582660 : 96
1080 : 583740 : 96
1081 : 584821 : 8
1082 : 585903 : 12
1083 : 586986 : 24
1084 : 588070 : 32
1085 : 589155 : 32
1086 : 590241 : 8
1087 : 591328 : 24
1088 : 592416 : 108
1089 : 593505 : 36
1090 : 594595 : 8
1091 : 595686 : 32
1092 : 596778 : 32
1093 : 597871 : 4
1094 : 598965 : 16
1095 : 600060 : 48
1096 : 601156 : 12
1097 : 602253 : 12
1098 : 603351 : 24
1099 : 604450 : 48
1100 : 605550 : 48
1101 : 606651 : 16
1102 : 607753 : 8
1103 : 608856 : 32
1104 : 609960 : 128
1105 : 611065 : 32
1106 : 612171 : 32
1107 : 613278 : 32
1108 : 614386 : 8
1109 : 615495 : 16
1110 : 616605 : 32
1111 : 617716 : 24
1112 : 618828 : 48
1113 : 619941 : 16
1114 : 621055 : 8
1115 : 622170 : 48
1116 : 623286 : 24
1117 : 624403 : 8
1118 : 625521 : 16
1119 : 626640 : 80
1120 : 627760 : 80
1121 : 628881 : 32
1122 : 630003 : 16
1123 : 631126 : 8
1124 : 632250 : 48
1125 : 633375 : 24
1126 : 634501 : 12
1127 : 635628 : 72
1128 : 636756 : 24
1129 : 637885 : 8
1130 : 639015 : 32
1131 : 640146 : 32
1132 : 641278 : 16
1133 : 642411 : 40
1134 : 643545 : 40
1135 : 644680 : 32
1136 : 645816 : 32
1137 : 646953 : 8
1138 : 648091 : 8
1139 : 649230 : 64
1140 : 650370 : 64
1141 : 651511 : 8
1142 : 652653 : 12
1143 : 653796 : 72
1144 : 654940 : 48
1145 : 656085 : 16
1146 : 657231 : 16
1147 : 658378 : 32
1148 : 659526 : 32
1149 : 660675 : 24
1150 : 661825 : 12
1151 : 662976 : 42
1152 : 664128 : 42
1153 : 665281 : 4
1154 : 666435 : 32
1155 : 667590 : 96
1156 : 668746 : 24
1157 : 669903 : 16
1158 : 671061 : 16
1159 : 672220 : 48
1160 : 673380 : 96
1161 : 674541 : 32
1162 : 675703 : 8
1163 : 676866 : 16
1164 : 678030 : 32
1165 : 679195 : 16
1166 : 680361 : 16
1167 : 681528 : 32
1168 : 682696 : 32
1169 : 683865 : 48
1170 : 685035 : 24
1171 : 686206 : 8
1172 : 687378 : 32
1173 : 688551 : 16
1174 : 689725 : 12
1175 : 690900 : 108
1176 : 692076 : 72
1177 : 693253 : 16
1178 : 694431 : 24
1179 : 695610 : 48
1180 : 696790 : 16
1181 : 697971 : 8
1182 : 699153 : 24
1183 : 700336 : 60
1184 : 701520 : 80
1185 : 702705 : 16
1186 : 703891 : 4
1187 : 705078 : 32
1188 : 706266 : 64
1189 : 707455 : 32
1190 : 708645 : 32
1191 : 709836 : 24
1192 : 711028 : 12
1193 : 712221 : 8
1194 : 713415 : 16
1195 : 714610 : 32
1196 : 715806 : 96
1197 : 717003 : 24
1198 : 718201 : 8
1199 : 719400 : 96
1200 : 720600 : 48
1201 : 721801 : 4
1202 : 723003 : 8
1203 : 724206 : 32
1204 : 725410 : 32
1205 : 726615 : 24
1206 : 727821 : 24
1207 : 729028 : 24
1208 : 730236 : 48
1209 : 731445 : 48
1210 : 732655 : 24
1211 : 733866 : 32
1212 : 735078 : 16
1213 : 736291 : 4
1214 : 737505 : 24
1215 : 738720 : 144
1216 : 739936 : 24
1217 : 741153 : 16
1218 : 742371 : 32
1219 : 743590 : 32
1220 : 744810 : 64
1221 : 746031 : 32
1222 : 747253 : 8
1223 : 748476 : 36
1224 : 749700 : 162
1225 : 750925 : 18
1226 : 752151 : 8
1227 : 753378 : 16
1228 : 754606 : 8
1229 : 755835 : 16
1230 : 757065 : 16
1231 : 758296 : 32
1232 : 759528 : 96
1233 : 760761 : 12
1234 : 761995 : 16
1235 : 763230 : 64
1236 : 764466 : 16
1237 : 765703 : 4
1238 : 766941 : 16
1239 : 768180 : 96
1240 : 769420 : 48
1241 : 770661 : 32
1242 : 771903 : 32
